name,club,league,country,age,position,secondary_position,market_value_million,overall_rating,potential,preferred_foot,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physical,play_style,work_rate,weak_foot,skill_moves
K. Klostermann,RB Leipzig,Bundesliga,Germany,27,CB,,39.1,83,85,Right,189,89,70,46,74,55,84,88,Ball Winner,Medium/Medium,5,2
E. Bitshiabu,RB Leipzig,Bundesliga,Germany,19,CB,,65.7,85,95,Right,193,91,81,55,73,61,89,82,Ball Winner,Medium/Medium,5,5
N. Seiwald,RB Leipzig,Bundesliga,Germany,23,CDM,,65.9,90,95,Left,172,71,69,60,91,83,77,88,Deep Playmaker,Medium/Medium,2,5
K. Kampl,RB Leipzig,Bundesliga,Germany,33,CM,CAM,45.0,85,90,Right,175,70,78,64,90,78,67,80,Ball Winner,High/Medium,2,5
E. Elmas,RB Leipzig,Bundesliga,Germany,24,CAM,,44.7,82,87,Right,177,79,85,70,89,87,54,57,Inverted Winger,High/High,2,2
C. Baumgartner,RB Leipzig,Bundesliga,Germany,24,CAM,,64.7,90,95,Left,181,81,95,88,82,95,43,74,Traditional Winger,High/Low,2,3
Y. Poulsen,RB Leipzig,Bundesliga,Germany,30,ST,,48.5,87,91,Left,179,76,80,90,65,85,30,74,Poacher,High/Low,5,2
M. Svilar,Roma,Serie A,Italy,24,GK,,65.7,91,95,Left,195,97,31,28,84,33,15,74,Sweeper Keeper,High/Medium,4,1
R. Karsdorp,Roma,Serie A,Italy,29,RB,RWB,48.2,87,90,Right,174,76,82,67,80,70,80,82,Traditional Winger,High/High,3,3
G. Mancini,Roma,Serie A,Italy,28,CB,CDM,47.4,85,90,Right,194,92,73,52,69,55,88,90,Ball Playing Defender,High/High,4,3
E. Ndicka,Roma,Serie A,Italy,24,CB,RB,64.7,90,95,Left,192,89,70,32,73,66,91,93,Ball Winner,Medium/Medium,3,3
Leonardo Spinazzola,Roma,Serie A,Italy,31,LB,CB,32.5,83,83,Right,177,79,80,67,78,70,70,78,Traditional Winger,Medium/Medium,4,1
L. Paredes,Roma,Serie A,Italy,29,CDM,,46.2,85,90,Right,181,83,67,67,90,88,70,87,Deep Playmaker,Medium/Medium,4,2
B. Cristante,Roma,Serie A,Italy,29,CM,CDM,30.2,81,82,Left,175,78,81,69,82,86,61,82,Press Resistant,High/High,4,3
L. Pellegrini,Roma,Serie A,Italy,27,CAM,,35.6,81,84,Right,181,81,86,73,79,87,59,54,Inverted Winger,Medium/High,2,3
P. Dybala,Roma,Serie A,Italy,30,CF,,41.0,84,88,Right,177,80,87,88,66,86,47,90,Poacher,Low/Medium,3,1
S. El Shaarawy,Roma,Serie A,Italy,31,LW,LM,41.5,86,87,Right,165,65,91,77,78,90,59,72,Creative Playmaker,Medium/High,2,2
R. Lukaku,Roma,Serie A,Italy,31,ST,LW,34.0,83,84,Right,189,85,85,87,82,83,25,83,Target Man,Medium/High,2,5
R. Patricio,Roma,Serie A,Italy,36,GK,,36.5,84,85,Left,197,100,59,19,63,38,20,64,Sweeper Keeper,High/High,5,1
Z. Celik,Roma,Serie A,Italy,27,RB,LWB,59.6,90,94,Right,180,75,94,56,85,83,81,80,Press Resistant,Medium/High,4,3
C. Smalling,Roma,Serie A,Italy,34,CB,,54.5,90,93,Right,184,86,76,30,55,69,95,92,Ball Playing Defender,Medium/High,2,5
D. Llorente,Roma,Serie A,Italy,30,CB,RB,58.5,91,95,Right,188,86,65,41,68,61,91,95,Ball Playing Defender,High/Low,2,3
Angelino,Roma,Serie A,Italy,27,LB,,31.6,80,82,Left,170,71,89,61,70,71,81,65,Press Resistant,Low/Medium,5,2
E. Bove,Roma,Serie A,Italy,22,CM,CDM,47.6,81,88,Right,178,74,67,81,81,84,75,75,Box to Box,Low/Medium,3,3
H. Aouar,Roma,Serie A,Italy,25,CM,CAM,46.5,82,89,Left,181,79,81,74,83,77,73,81,Press Resistant,Medium/High,4,4
T. Baldanzi,Roma,Serie A,Italy,21,CAM,,66.3,88,95,Right,179,77,86,78,79,90,51,63,Inverted Winger,High/Low,4,1
T. Abraham,Roma,Serie A,Italy,26,ST,LW,58.8,88,94,Right,190,87,86,93,79,78,28,73,Target Man,Low/Medium,3,4
R. Majecki,Monaco,Ligue 1,France,24,GK,,52.2,85,90,Right,199,94,57,16,73,47,23,62,Sweeper Keeper,Medium/High,4,1
V. Vanderson,Monaco,Ligue 1,France,22,RWB,,59.1,85,93,Right,177,79,94,50,81,80,85,78,Press Resistant,Low/Medium,3,2
W. Singo,Monaco,Ligue 1,France,23,CB,CDM,63.9,88,95,Right,193,88,65,34,58,63,89,90,Ball Winner,Low/Medium,2,3
G. Maripan,Monaco,Ligue 1,France,30,CB,RB,37.5,82,87,Right,192,89,82,37,58,69,83,79,Ball Winner,High/High,4,3
T. Kehrer,Monaco,Ligue 1,France,27,CB,RB,37.1,81,85,Right,186,84,80,47,65,60,82,84,Ball Playing Defender,High/Low,4,2
I. Jakobs,Monaco,Ligue 1,France,24,LWB,,48.2,84,88,Right,172,76,85,62,82,81,83,67,Traditional Winger,High/Low,5,1
Y. Fofana,Monaco,Ligue 1,France,25,CDM,,47.5,83,89,Right,183,87,68,64,87,80,70,85,Box to Box,Low/Medium,5,3
D. Zakaria,Monaco,Ligue 1,France,27,CM,CAM,60.6,91,94,Right,188,86,77,60,91,80,67,73,Press Resistant,High/Medium,2,5
A. Golovin,Monaco,Ligue 1,France,28,CAM,,50.9,87,91,Right,171,66,85,74,81,89,36,68,Traditional Winger,Medium/Medium,5,1
T. Minamino,Monaco,Ligue 1,France,29,CF,,56.2,89,94,Right,185,83,75,92,65,88,49,82,Target Man,High/Low,5,2
W. Ben Yedder,Monaco,Ligue 1,France,33,ST,LW,49.5,88,91,Left,175,74,81,92,78,81,31,77,Poacher,Medium/Medium,5,5
P. Kohn,Monaco,Ligue 1,France,26,GK,,57.8,90,92,Right,197,96,44,20,60,33,27,69,Sweeper Keeper,High/Medium,4,1
M. Salisu,Monaco,Ligue 1,France,25,CB,RB,59.5,89,93,Right,195,91,71,40,55,63,92,93,Ball Winner,Medium/High,3,4
C. Matsima,Monaco,Ligue 1,France,22,CB,RB,52.1,81,91,Right,191,87,79,38,56,58,82,83,Ball Playing Defender,High/Low,3,2
K. Ouattara,Monaco,Ligue 1,France,23,LB,RWB,51.4,83,90,Right,174,77,91,55,72,84,71,72,Press Resistant,Low/Medium,3,2
M. Camara,Monaco,Ligue 1,France,24,CDM,,52.7,84,91,Right,188,84,81,82,89,75,75,74,Press Resistant,Medium/Medium,2,2
E. Ben Seghir,Monaco,Ligue 1,France,19,CAM,,69.7,89,95,Right,180,77,88,82,80,94,37,64,Inverted Winger,Low/Medium,4,4
M. Akliouche,Monaco,Ligue 1,France,22,RM,,45.1,80,87,Left,172,73,93,86,85,82,56,70,Inverted Winger,High/Low,5,4
F. Balogun,Monaco,Ligue 1,France,22,ST,CF,51.1,83,89,Right,185,82,75,85,79,80,34,75,Target Man,High/Low,3,3
B. Embolo,Monaco,Ligue 1,France,27,ST,,51.6,88,90,Right,186,86,75,94,72,85,43,90,Poacher,Medium/Medium,3,4
F. Israel,Sporting CP,Primeira Liga,Portugal,24,GK,,54.7,86,91,Right,196,101,40,19,65,39,23,69,Sweeper Keeper,Medium/High,5,1
I. Fresneda,Sporting CP,Primeira Liga,Portugal,19,RWB,,69.7,89,95,Right,180,76,85,51,70,72,76,71,Press Resistant,High/High,4,1
O. Diomande,Sporting CP,Primeira Liga,Portugal,20,CB,RB,56.5,83,91,Right,184,80,67,40,57,53,86,86,Ball Winner,Medium/High,4,2
S. Coates,Sporting CP,Primeira Liga,Portugal,33,CB,CDM,52.5,91,91,Right,188,87,81,38,73,66,94,95,Ball Winner,Medium/High,2,3
G. Inacio,Sporting CP,Primeira Liga,Portugal,22,CB,CDM,66.1,89,95,Right,183,87,79,51,58,57,92,90,Ball Winner,High/Low,2,5
M. Reis,Sporting CP,Primeira Liga,Portugal,26,LWB,,42.3,82,87,Right,178,82,93,62,84,72,82,73,Traditional Winger,Low/Medium,3,1
M. Hjulmand,Sporting CP,Primeira Liga,Portugal,24,CDM,,63.7,89,95,Right,173,68,75,78,94,78,67,87,Press Resistant,Low/Medium,2,3
H. Morita,Sporting CP,Primeira Liga,Portugal,29,CM,CDM,37.2,82,86,Right,184,82,84,65,86,79,72,78,Box to Box,High/Medium,5,5
P. Goncalves,Sporting CP,Primeira Liga,Portugal,25,LW,RM,64.5,91,95,Right,173,68,83,83,75,93,36,55,Inverted Winger,High/Low,2,2
M. Edwards,Sporting CP,Primeira Liga,Portugal,25,RW,LM,62.5,89,95,Right,172,70,86,87,89,91,36,52,Traditional Winger,Low/Medium,5,3
V. Gyokeres,Sporting CP,Primeira Liga,Portugal,26,ST,,47.8,83,90,Left,178,74,81,88,77,80,25,81,Target Man,High/Medium,4,5
A. Adan,Sporting CP,Primeira Liga,Portugal,37,GK,,36.5,84,85,Right,198,95,38,17,71,31,30,71,Sweeper Keeper,Low/Medium,5,1
R. Esgaio,Sporting CP,Primeira Liga,Portugal,31,RWB,,52.5,91,91,Right,172,77,88,60,74,81,79,72,Press Resistant,High/High,4,2
E. Quaresma,Sporting CP,Primeira Liga,Portugal,22,CB,RB,64.1,87,95,Right,183,87,70,35,73,53,88,93,Ball Playing Defender,High/High,5,3
J. St. Juste,Sporting CP,Primeira Liga,Portugal,27,CB,,40.1,81,87,Right,186,91,62,49,60,56,86,83,Ball Winner,Low/Medium,3,1
N. Santos,Sporting CP,Primeira Liga,Portugal,29,LWB,,40.7,84,87,Right,180,84,80,55,84,83,84,66,Traditional Winger,High/Medium,2,5
D. Braganca,Sporting CP,Primeira Liga,Portugal,24,CM,CDM,49.7,84,89,Left,184,85,75,65,89,83,65,73,Press Resistant,High/Medium,2,4
K. Koindredi,Sporting CP,Primeira Liga,Portugal,22,CM,CDM,46.6,80,88,Right,174,78,83,79,80,77,72,72,Box to Box,High/Medium,2,3
Trincao,Sporting CP,Primeira Liga,Portugal,24,RW,RM,64.7,90,95,Right,178,83,89,86,79,95,43,50,Creative Playmaker,High/High,4,5
Paulinho,Sporting CP,Primeira Liga,Portugal,31,ST,CF,52.5,91,91,Right,190,87,88,95,71,80,47,85,Poacher,High/Medium,4,4
A. Trubin,Benfica,Primeira Liga,Portugal,22,GK,,58.6,86,92,Left,198,97,60,26,69,39,27,66,Sweeper Keeper,High/Low,5,1
A. Bah,Benfica,Primeira Liga,Portugal,26,RB,CB,48.3,85,89,Left,176,76,94,58,70,82,71,70,Traditional Winger,Medium/Medium,5,5
A. Silva,Benfica,Primeira Liga,Portugal,20,CB,CDM,66.5,87,95,Left,183,88,77,52,60,65,88,85,Ball Winner,High/Low,5,5
N. Otamendi,Benfica,Primeira Liga,Portugal,36,CB,,27.5,81,81,Right,188,87,71,50,57,58,83,80,Ball Playing Defender,High/Medium,5,4
F. Aursnes,Benfica,Primeira Liga,Portugal,28,LB,RWB,52.4,90,90,Right,173,75,92,53,83,74,75,73,Press Resistant,Low/Medium,3,5
F. Florentino,Benfica,Primeira Liga,Portugal,24,CDM,,53.2,83,92,Left,182,83,84,79,88,87,71,88,Deep Playmaker,Medium/High,2,5
J. Neves,Benfica,Primeira Liga,Portugal,19,CM,CDM,62.7,82,95,Right,187,84,76,74,86,81,65,83,Box to Box,High/Low,4,1
O. Kokcu,Benfica,Primeira Liga,Portugal,23,CAM,,48.4,83,88,Left,176,75,90,71,81,88,30,65,Traditional Winger,Medium/Medium,2,2
A. Di Maria,Benfica,Primeira Liga,Portugal,36,RW,LM,37.0,83,86,Right,176,74,91,81,82,87,39,63,Traditional Winger,High/Low,4,3
D. Neres,Benfica,Primeira Liga,Portugal,27,LW,ST,42.6,85,86,Right,170,69,87,80,90,89,35,64,Creative Playmaker,Medium/High,3,4
R. Silva,Benfica,Primeira Liga,Portugal,31,CF,,35.0,81,86,Right,176,77,88,87,80,87,30,88,Poacher,Medium/High,5,3
S. Soares,Benfica,Primeira Liga,Portugal,21,GK,,55.3,83,91,Right,188,84,36,22,78,40,26,72,Sweeper Keeper,Medium/High,4,1
T. Araujo,Benfica,Primeira Liga,Portugal,22,CB,CDM,53.1,82,91,Left,190,93,60,31,60,59,82,85,Ball Playing Defender,High/Medium,3,1
M. Morato,Benfica,Primeira Liga,Portugal,22,CB,RB,66.1,89,95,Right,189,90,80,47,56,58,93,94,Ball Winner,Medium/High,2,2
A. Carreras,Benfica,Primeira Liga,Portugal,21,LB,RWB,50.8,80,90,Right,182,83,90,56,85,78,78,79,Press Resistant,High/Medium,5,5
J. Mario,Benfica,Primeira Liga,Portugal,31,CM,CDM,30.0,82,82,Right,173,69,85,78,83,75,58,83,Press Resistant,Medium/High,3,1
R. Sanches,Benfica,Primeira Liga,Portugal,26,CM,CAM,62.3,90,95,Right,179,75,83,79,95,80,69,82,Deep Playmaker,High/Medium,4,5
T. Gouveia,Benfica,Primeira Liga,Portugal,23,RW,ST,50.9,84,89,Right,175,72,87,83,87,90,56,51,Traditional Winger,Medium/High,2,3
M. Leonardo,Benfica,Primeira Liga,Portugal,21,ST,CF,66.3,88,95,Right,179,81,75,92,71,79,43,74,Poacher,Medium/High,3,2
A. Cabral,Benfica,Primeira Liga,Portugal,26,ST,LW,61.8,91,94,Right,188,90,76,95,72,87,37,84,Target Man,High/Low,5,2
D. Costa,Porto,Primeira Liga,Portugal,24,GK,,62.2,89,94,Right,187,92,31,16,62,34,20,64,Sweeper Keeper,High/Low,5,1
J. Mario,Porto,Primeira Liga,Portugal,24,RB,,45.7,83,87,Right,179,79,92,56,73,71,72,71,Press Resistant,High/Low,5,5
Pepe,Porto,Primeira Liga,Portugal,41,CB,CDM,33.5,81,85,Right,187,87,81,54,72,56,85,80,Ball Playing Defender,High/High,5,2
Z. Pedro,Porto,Primeira Liga,Portugal,27,CB,,61.1,90,95,Right,190,92,66,46,58,53,91,92,Ball Winner,Low/Medium,4,5
Wendell,Porto,Primeira Liga,Portugal,30,LB,RWB,47.5,86,91,Left,181,85,90,57,79,78,81,74,Traditional Winger,High/Low,5,3
A. Varela,Porto,Primeira Liga,Portugal,22,CDM,,68.1,91,95,Left,187,84,66,73,94,87,69,82,Deep Playmaker,High/Medium,4,4
N. Gonzalez,Porto,Primeira Liga,Portugal,22,CM,CDM,61.6,86,94,Right,172,73,73,76,90,75,56,80,Press Resistant,Medium/High,4,3
W. Galeno,Porto,Primeira Liga,Portugal,26,LW,RM,50.3,87,89,Right,183,83,89,78,81,90,45,51,Creative Playmaker,Low/Medium,2,5
F. Conceicao,Porto,Primeira Liga,Portugal,21,RW,RM,68.3,90,95,Right,169,66,96,75,84,94,46,52,Inverted Winger,High/Low,4,4
Evanilson,Porto,Primeira Liga,Portugal,24,ST,RW,65.7,91,95,Right,191,94,83,95,73,84,48,77,Poacher,High/Low,2,5
C. Ramos,Porto,Primeira Liga,Portugal,32,GK,,53.0,90,92,Right,196,98,41,22,85,47,19,69,Sweeper Keeper,Medium/High,3,1
M. Sanchez,Porto,Primeira Liga,Portugal,26,RB,RWB,43.3,83,87,Right,179,76,94,69,76,70,84,77,Press Resistant,Medium/Medium,2,4
F. Cardoso,Porto,Primeira Liga,Portugal,30,CB,CDM,39.5,84,87,Left,191,96,63,52,68,54,88,87,Ball Playing Defender,Medium/Medium,3,3
O. Ataide,Porto,Primeira Liga,Portugal,26,CB,RB,62.3,90,95,Right,186,88,76,46,55,57,94,87,Ball Winner,Medium/High,5,2
S. Zaidu,Porto,Primeira Liga,Portugal,27,LB,CB,36.1,80,85,Right,179,78,94,66,85,71,79,76,Press Resistant,High/Low,3,4
S. Eustaquio,Porto,Primeira Liga,Portugal,27,CM,CDM,50.6,87,90,Right,179,80,71,62,91,79,66,78,Deep Playmaker,Low/Medium,5,5
M. Grujic,Porto,Primeira Liga,Portugal,28,CDM,,45.4,86,88,Right,178,74,71,68,88,75,65,88,Press Resistant,High/High,2,3
I. Jaime,Porto,Primeira Liga,Portugal,23,CAM,,53.4,85,90,Right,181,81,95,77,90,87,59,63,Inverted Winger,High/Medium,5,1
M. Taremi,Porto,Primeira Liga,Portugal,31,ST,CF,26.5,80,81,Right,183,80,77,85,72,87,32,74,Target Man,Medium/Medium,2,1
E. Martinez,Aston Villa,Premier League,England,31,GK,,52.5,88,93,Right,185,80,41,29,75,48,15,72,Sweeper Keeper,High/High,3,1
M. Cash,Aston Villa,Premier League,England,26,RB,CB,61.3,89,95,Right,180,83,95,63,79,82,80,76,Traditional Winger,Medium/High,2,2
E. Konsa,Aston Villa,Premier League,England,26,CB,CDM,63.3,91,95,Right,183,79,82,50,57,65,91,93,Ball Winner,High/High,2,2
P. Torres,Aston Villa,Premier League,England,27,CB,,61.1,90,95,Right,194,92,78,49,56,50,93,93,Ball Playing Defender,Medium/High,2,3
A. Moreno,Aston Villa,Premier League,England,31,LB,RWB,33.5,81,85,Right,182,85,94,55,74,74,80,82,Press Resistant,Medium/Medium,4,2
D. Luiz,Aston Villa,Premier League,England,26,CM,CAM,63.3,91,95,Right,175,73,81,80,95,80,71,83,Box to Box,High/Medium,5,3
B. Kamara,Aston Villa,Premier League,England,24,CDM,,53.2,86,90,Right,180,76,71,60,87,86,75,78,Press Resistant,High/High,3,4
J. McGinn,Aston Villa,Premier League,England,29,CM,CDM,56.2,89,94,Right,184,86,76,82,92,76,66,81,Box to Box,Medium/High,2,1
L. Bailey,Aston Villa,Premier League,England,26,RW,CAM,51.3,85,91,Left,178,83,88,87,85,90,60,67,Creative Playmaker,High/High,2,5
M. Diaby,Aston Villa,Premier League,England,24,RM,,63.7,89,95,Right,167,69,93,81,90,93,54,68,Creative Playmaker,High/Medium,3,5
O. Watkins,Aston Villa,Premier League,England,28,ST,RW,34.4,81,84,Right,187,82,83,86,70,90,31,87,Target Man,High/High,4,2
R. Olsen,Aston Villa,Premier League,England,34,GK,,56.0,90,94,Right,193,91,39,20,74,32,27,82,Sweeper Keeper,Medium/High,5,1
D. Carlos,Aston Villa,Premier League,England,31,CB,RB,46.0,86,90,Right,185,87,73,52,55,67,88,83,Ball Winner,High/Medium,4,3
C. Lenglet,Aston Villa,Premier League,England,28,CB,,46.9,86,89,Right,188,92,72,45,74,51,86,84,Ball Winner,High/Medium,5,2
L. Digne,Aston Villa,Premier League,England,30,LB,,55.5,91,93,Right,180,77,88,61,70,75,85,78,Traditional Winger,High/High,2,2
Y. Tielemans,Aston Villa,Premier League,England,27,CM,CAM,37.6,83,84,Right,180,82,78,66,87,75,64,82,Press Resistant,High/Medium,3,5
N. Zaniolo,Aston Villa,Premier League,England,24,CAM,,45.7,80,89,Right,175,78,91,74,90,85,58,69,Inverted Winger,High/Medium,3,4
J. Ramsey,Aston Villa,Premier League,England,23,LM,,55.9,83,93,Left,167,64,86,76,86,85,48,50,Creative Playmaker,High/Medium,2,4
J. Duran,Aston Villa,Premier League,England,20,ST,LW,61.5,82,95,Left,177,79,76,84,73,88,41,71,Target Man,Medium/High,3,3
M. Rogers,Aston Villa,Premier League,England,21,LM,,63.3,85,95,Right,166,63,92,72,89,89,55,72,Creative Playmaker,High/Low,5,4
N. Johnson,West Ham,Premier League,England,32,RM,,15.0,76,76,Right,165,70,92,77,88,82,53,60,Creative Playmaker,High/Medium,4,1
A. Taylor,West Ham,Premier League,England,26,CF,,16.8,73,76,Left,182,84,78,76,76,79,30,80,Target Man,Low/Medium,5,5
B. Michel,West Ham,Premier League,England,17,CF,,42.6,73,86,Right,182,85,84,77,82,77,48,78,Poacher,Medium/High,3,4
S. Smith,West Ham,Premier League,England,22,RB,RWB,42.6,79,86,Right,182,82,84,54,79,71,72,81,Traditional Winger,Medium/Medium,4,4
G. Taylor,West Ham,Premier League,England,23,LM,,31.4,75,82,Right,167,68,93,87,87,78,50,75,Inverted Winger,Medium/High,2,1
L. Evans,West Ham,Premier League,England,34,RB,,35.5,83,85,Left,180,77,87,62,83,73,79,70,Traditional Winger,High/High,5,3
L. Schmidt,West Ham,Premier League,England,26,CDM,,36.3,79,85,Right,188,84,66,72,80,80,69,77,Ball Winner,High/Low,5,1
J. Moreau,West Ham,Premier League,England,19,RM,,53.7,79,91,Right,183,82,91,81,80,81,43,61,Traditional Winger,Medium/High,4,3
T. Rodriguez,West Ham,Premier League,England,26,CF,,40.3,80,87,Right,178,82,93,85,76,87,38,81,Poacher,Low/Medium,2,4
M. Silva,West Ham,Premier League,England,19,ST,LW,56.7,82,91,Right,192,91,80,84,74,88,30,71,Target Man,High/Medium,2,4
J. Williams,West Ham,Premier League,England,18,CAM,,63.9,82,95,Right,172,77,86,78,83,84,54,61,Inverted Winger,High/Medium,2,2
M. Horvat,West Ham,Premier League,England,21,CM,CDM,38.3,75,85,Right,190,89,69,80,76,82,55,88,Deep Playmaker,High/Low,4,1
J. Russo,West Ham,Premier League,England,21,ST,LW,32.8,74,82,Right,187,90,91,76,79,86,30,89,Target Man,High/Medium,2,2
G. Schmidt,West Ham,Premier League,England,18,GK,,45.9,76,87,Left,193,95,47,23,63,35,17,84,Sweeper Keeper,High/High,5,1
H. Brown,West Ham,Premier League,England,34,CM,CDM,35.0,81,86,Right,178,77,80,61,83,75,74,70,Ball Winner,Medium/High,5,5
J. Schneider,West Ham,Premier League,England,23,CB,,28.9,74,81,Right,190,93,61,54,65,70,74,73,Ball Playing Defender,High/High,5,5
J. Dubois,West Ham,Premier League,England,21,CAM,,45.3,79,87,Right,185,85,93,73,88,81,44,65,Inverted Winger,High/High,2,5
S. Simon,West Ham,Premier League,England,17,RB,,54.6,79,90,Right,176,78,89,53,83,78,83,65,Press Resistant,High/Low,2,1
J. Fischer,West Ham,Premier League,England,29,LM,,27.2,78,82,Right,165,61,94,83,88,82,42,53,Creative Playmaker,Low/Medium,4,1
J. Kovacic,West Ham,Premier League,England,34,RB,,24.5,78,81,Right,171,67,93,58,79,84,77,76,Press Resistant,High/Medium,2,4
H. Silva,West Ham,Premier League,England,20,CF,,41.5,77,85,Right,184,85,89,79,80,84,49,84,Poacher,High/Low,5,1
L. Oliveira,West Ham,Premier League,England,24,CM,CDM,24.7,74,79,Right,188,91,67,80,78,83,67,74,Box to Box,Medium/Medium,2,4
V. Brown,West Ham,Premier League,England,17,CAM,,53.1,76,91,Right,182,85,84,85,89,81,56,63,Creative Playmaker,Medium/High,4,1
O. Martinez,West Ham,Premier League,England,23,LB,LWB,38.4,76,86,Right,180,77,85,67,84,74,77,82,Press Resistant,Low/Medium,5,4
K. Michel,West Ham,Premier League,England,19,CF,,55.7,81,91,Right,178,77,89,83,68,81,38,71,Poacher,High/Medium,3,2
M. Weber,Brighton,Premier League,England,23,CB,,31.9,74,83,Right,192,96,71,55,75,63,77,71,Ball Playing Defender,Medium/Medium,4,4
L. Oliveira,Brighton,Premier League,England,29,ST,RW,11.2,74,74,Right,182,87,78,76,74,81,47,75,Target Man,Low/Medium,3,5
C. Garcia,Brighton,Premier League,England,18,LM,,49.4,75,90,Left,171,71,83,75,84,80,53,58,Creative Playmaker,Low/Medium,4,3
L. Evans,Brighton,Premier League,England,20,RW,ST,30.5,72,81,Left,176,74,87,81,79,74,50,50,Creative Playmaker,Low/Medium,2,2
V. Pereira,Brighton,Premier League,England,22,ST,,36.1,77,83,Right,195,93,76,83,70,80,41,83,Target Man,Medium/High,5,3
G. Evans,Brighton,Premier League,England,26,CB,RB,46.3,83,89,Right,192,91,79,51,64,70,84,88,Ball Playing Defender,High/Low,2,5
G. Ferrari,Brighton,Premier League,England,32,CB,CDM,15.0,76,76,Right,196,93,68,37,63,62,76,78,Ball Winner,Low/Medium,2,5
V. Smith,Brighton,Premier League,England,19,CB,,58.7,81,93,Right,196,99,74,54,65,56,86,86,Ball Playing Defender,Low/Medium,4,5
I. Evans,Brighton,Premier League,England,17,RB,,65.1,82,95,Right,174,74,93,69,75,85,73,80,Press Resistant,Low/Medium,4,2
O. Gonzalez,Brighton,Premier League,England,32,CM,CAM,27.5,78,83,Right,179,74,67,63,82,80,73,87,Deep Playmaker,High/Low,2,2
S. Jones,Brighton,Premier League,England,28,CAM,,33.9,82,83,Right,185,80,91,81,87,84,51,75,Creative Playmaker,Medium/Medium,3,3
J. Esposito,Brighton,Premier League,England,17,CB,CDM,56.6,78,92,Right,193,93,80,42,68,64,80,78,Ball Playing Defender,Medium/Medium,4,5
O. Novak,Brighton,Premier League,England,18,CM,CDM,46.9,74,89,Right,173,70,66,72,75,76,57,86,Deep Playmaker,High/Medium,4,3
M. Kovacic,Brighton,Premier League,England,32,ST,RW,13.0,74,76,Right,184,89,92,78,65,79,27,86,Target Man,High/High,5,1
G. Costa,Brighton,Premier League,England,32,CM,CDM,23.0,78,80,Right,181,83,65,66,78,86,66,83,Ball Winner,Low/Medium,4,5
M. Taylor,Brighton,Premier League,England,20,CDM,,40.5,76,85,Left,178,77,78,81,77,88,81,83,Ball Winner,Low/Medium,2,5
L. Horvat,Brighton,Premier League,England,33,ST,,33.5,81,85,Left,184,89,90,85,66,79,46,79,Target Man,High/High,3,3
T. Brown,Brighton,Premier League,England,21,RB,,42.8,78,86,Right,185,83,85,62,75,76,84,78,Press Resistant,Low/Medium,3,1
A. Thomas,Brighton,Premier League,England,26,CAM,,26.3,75,81,Left,174,78,96,76,75,77,44,75,Inverted Winger,High/High,3,3
J. Martinez,Brighton,Premier League,England,25,RB,LWB,30.0,76,82,Right,178,73,82,51,73,79,72,75,Traditional Winger,High/High,4,4
A. Jones,Brighton,Premier League,England,25,ST,LW,33.5,78,83,Right,179,75,80,80,66,88,46,89,Poacher,Medium/Medium,3,5
C. Lopez,Brighton,Premier League,England,28,CM,CDM,20.9,75,79,Right,172,69,78,75,77,76,60,78,Box to Box,Low/Medium,3,3
K. Evans,Brighton,Premier League,England,19,CF,,44.7,76,87,Right,176,81,85,78,78,86,44,79,Poacher,High/Medium,3,5
M. Brown,Brighton,Premier League,England,21,CM,CDM,58.8,82,94,Right,178,77,65,62,85,82,69,78,Deep Playmaker,High/Low,5,1
L. Moreau,Brighton,Premier League,England,17,LB,CB,44.6,72,88,Right,185,87,82,62,84,78,74,67,Press Resistant,High/Medium,3,3
O. Simon,Crystal Palace,Premier League,England,17,CDM,,56.1,79,91,Right,182,85,75,62,81,83,65,88,Ball Winner,Medium/Medium,2,3
A. Evans,Crystal Palace,Premier League,England,21,ST,LW,32.8,74,82,Right,180,80,75,78,74,79,48,76,Poacher,High/Medium,4,2
O. Schmidt,Crystal Palace,Premier League,England,28,RM,,38.4,82,86,Left,169,67,94,78,85,85,54,64,Creative Playmaker,Medium/High,5,4
G. Jones,Crystal Palace,Premier League,England,33,GK,,14.5,74,77,Right,195,90,34,27,69,32,25,85,Sweeper Keeper,High/High,5,1
L. Rodriguez,Crystal Palace,Premier League,England,33,LW,RM,38.5,83,87,Left,174,71,87,77,86,86,54,55,Traditional Winger,High/Low,3,2
L. Santos,Crystal Palace,Premier League,England,25,ST,LW,21.0,73,78,Left,177,73,83,78,73,75,37,88,Poacher,Low/Medium,2,1
J. Ferrari,Crystal Palace,Premier League,England,25,CM,CAM,25.0,74,80,Right,176,79,75,65,76,80,61,83,Deep Playmaker,Low/Medium,3,4
L. Oliveira,Crystal Palace,Premier League,England,28,GK,,14.9,75,75,Right,194,95,33,19,77,34,27,79,Sweeper Keeper,Medium/Medium,3,1
S. Esposito,Crystal Palace,Premier League,England,17,CB,CDM,59.6,81,92,Right,195,93,81,30,64,64,83,84,Ball Winner,High/High,2,5
H. Moreau,Crystal Palace,Premier League,England,25,GK,,38.0,81,84,Right,199,97,55,20,67,46,22,64,Sweeper Keeper,Low/Medium,3,1
M. Johnson,Crystal Palace,Premier League,England,26,LM,,17.3,72,77,Right,184,84,96,81,89,78,49,74,Creative Playmaker,High/Medium,5,1
